indicadores_t1.cod_ccaa,indicadores_t1.cod_prov,indicadores_t1.cod_muni,indicadores_t1.distrito,indicadores_t1.total_poblacion,indicadores_t2.total_hombres,indicadores_t2.total_mujeres,indicadores_t3.total_rango_1,indicadores_t3.total_rango_2,indicadores_t3.total_rango_3,indicadores_t4.total_lnac_1,indicadores_t4.total_lnac_2,indicadores_t4.total_lnac_3,indicadores_t4.total_lnac_4,indicadores_t4.total_lnac_5,indicadores_t4.total_lnac_6,indicadores_t4.total_lnac_7,indicadores_t4.total_lnac_8,indicadores_t5.total_nac_lnac_1,indicadores_t5.total_nac_lnac_2,indicadores_t5.total_nac_lnac_3,indicadores_t5.total_nac_lnac_4,indicadores_t5.total_nac_lnac_5,indicadores_t5.total_nac_lnac_6,indicadores_t5.total_nac_lnac_7,indicadores_t5.total_nac_lnac_8,indicadores_t5.total_nac_lnac_9,indicadores_t5.total_nac_lnac_10,indicadores_t5.total_nac_lnac_11,indicadores_t5.total_nac_lnac_12,indicadores_t5.total_nac_lnac_13,indicadores_t5.total_nac_lnac_14,indicadores_t5.total_nac_lnac_15,indicadores_t5.total_nac_lnac_16,indicadores_t6.total_nac_esp,indicadores_t6.total_nac_ext,indicadores_t7.total_hom_rango1,indicadores_t7.total_hom_rango2,indicadores_t7.total_hom_rango3,indicadores_t7.total_muj_rango1,indicadores_t7.total_muj_rango2,indicadores_t7.total_muj_rango3,indicadores_t8.total_hom_nac_esp,indicadores_t8.total_hom_rnac_ext,indicadores_t8.total_muj_nac_esp,indicadores_t8.total_muj_nac_ext,indicadores_t9.total_nesp_rango1,indicadores_t9.total_next_rango1,indicadores_t9.total_esp_rango2,indicadores_t9.total_ext_rango2,indicadores_t9.total_esp_rango3,indicadores_t9.total_ext_rango3,indicadores_t10.total_solteros,indicadores_t10.total_casados,indicadores_t10.total_separados,indicadores_t10.total_divorciados,indicadores_t10.total_viudos,indicadores_t11.total_solt_rango1,indicadores_t11.total_solt_rango2,indicadores_t11.total_solt_rango3,indicadores_t11.total_casa_rango1,indicadores_t11.total_casa_rango2,indicadores_t11.total_casa_rango3,indicadores_t11.total_sepa_rango1,indicadores_t11.total_sepa_rango2,indicadores_t11.total_sepa_rango3,indicadores_t11.total_divo_rango1,indicadores_t11.total_divo_rango2,indicadores_t11.total_divo_rango3,indicadores_t11.total_viudo_rango1,indicadores_t11.total_viudo_rango2,indicadores_t11.total_viudo_rango3,indicadores_t12.total_analfabetos,indicadores_t12.total_sin_estudios,indicadores_t12.total_estudios_g1,indicadores_t12.total_estudios_g2,indicadores_t12.total_estudios_g3,indicadores_t12.total_no_info,indicadores_t13.total_muj_analf,indicadores_t13.total_muj_sin_est,indicadores_t13.total_muj_est_g1,indicadores_t13.total_muj_est_g2,indicadores_t13.total_muj_est_g3,indicadores_t13.total_muj_no_info,indicadores_t13.total_hom_analf,indicadores_t13.total_hom_sin_est,indicadores_t13.total_hom_est_g1,indicadores_t13.total_hom_est_g2,indicadores_t13.total_hom_est_g3,indicadores_t13.total_hom_no_info,indicadores_t14.total_esp_analf,indicadores_t14.total_esp_sin_est,indicadores_t14.total_esp_est_g1,indicadores_t14.total_esp_est_g2,indicadores_t14.total_esp_est_g3,indicadores_t14.total_esp_no_info,indicadores_t14.total_ext_analf,indicadores_t14.total_ext_sin_est,indicadores_t14.total_ext_est_g1,indicadores_t14.total_ext_est_g2,indicadores_t14.total_ext_est_g3,indicadores_t14.total_ext_no_info,indicadores_t15.total_rang2_analf,indicadores_t15.total_rang2_sin_est,indicadores_t15.total_rang2_est_g1,indicadores_t15.total_rang2_est_g2,indicadores_t15.total_rang2_est_g3,indicadores_t15.total_rang3_analf,indicadores_t15.total_rang3_sin_est,indicadores_t15.total_rang3_est_g1,indicadores_t15.total_rang3_est_g2,indicadores_t15.total_rang3_est_g3,indicadores_t15.total_rang1_no_info,indicadores_t16.total_viviendas,indicadores_t17.total_principales,indicadores_t17.total_secundarias,indicadores_t17.total_vacias,indicadores_t18.total_prop_paga,indicadores_t18.total_prop_pend,indicadores_t18.total_prop_hd,indicadores_t18.total_alquiler,indicadores_t18.total_cedida,indicadores_t18.total_otros,indicadores_t19.total_tam_1,indicadores_t19.total_tam_2,indicadores_t19.total_tam_3,indicadores_t19.total_tam_4,indicadores_t19.total_tam_5,indicadores_t19.total_tam_6,indicadores_t19.total_tam_7,indicadores_t19.total_tam_8,indicadores_t19.total_tam_9,indicadores_t19.total_tam_10,indicadores_t20.total_hab_1,indicadores_t20.total_hab_2,indicadores_t20.total_hab_3,indicadores_t20.total_hab_4,indicadores_t20.total_hab_5,indicadores_t20.total_hab_6,indicadores_t20.total_hab_7,indicadores_t20.total_hab_8,indicadores_t20.total_hab_9,indicadores_t21.total_hogares,indicadores_t22.total_hoga_1p,indicadores_t22.total_hoga_2p,indicadores_t22.total_hoga_3p,indicadores_t22.total_hoga_4p,indicadores_t22.total_hoga_5p,indicadores_t22.total_hoga_6p
13,28,79,1,135590,66990.0,68605,13035.0,101555,20975.0,100065.0,5820.0,435.0,1940.0,12245.0,895.0,3210.0,0.0,97355.0,140.0,,4000.0,,,,770.0,575.0,7750.0,,225.0,140.0,1880.0,,,103125.0,32465,6585.0,52775.0,7550.0,6450.0,48735,13420.0,49230.0,17745.0,53910.0,14700.0,9340.0,3680.0,73900.0,27615.0,19885.0,1100.0,79615.0,39005,2790.0,6365.0,7830.0,10765.0,62060.0,2835.0,0.0,30145.0,7625.0,0.0,1160.0,165.0,0.0,3360.0,555.0,0.0,770.0,4820.0,825.0,5125.0,11595.0,49880,55110.0,13025.0,240.0,525.0,1245.0,2810.0,4630.0,5765.0,25735.0,23965.0,27210.0,27470.0,5550.0,5235.0,515.0,245.0,3905.0,445.0,8250.0,2030.0,37480.0,11005.0,42425.0,11215.0,8280.0,2705.0,60.0,70.0,305.0,1900.0,3055.0,3490.0,42090.0,6130.0,51470.0,1990.0,10490.0,86810.0,70505.0,5085.0,11190.0,18240.0,16020.0,2695.0,27665.0,1910.0,1970.0,2970.0,15860.0,14575.0,8065.0,6375.0,2155.0,1035.0,1350.0,240.0,365.0,4330.0,8720.0,13985.0,15460.0,9605.0,3150.0,560.0,315.0,320.0,70505.0,31565.0,22825.0,8260.0,4010.0,1445.0,520.0
13,28,79,2,152235,70735.0,81465,20055.0,106285,25905.0,129985.0,4235.0,665.0,1170.0,12780.0,605.0,1160.0,25.0,128740.0,350.0,230.0,1865.0,90.0,295.0,190.0,100.0,860.0,9575.0,40.0,125.0,95.0,400.0,0.0,25.0,132605.0,19600,10095.0,50960.0,9660.0,9900.0,55295,16245.0,61295.0,9460.0,71330.0,10160.0,17685.0,2370.0,89750.0,16505.0,25195.0,705.0,75960.0,59170,2205.0,5530.0,9300.0,19570.0,52245.0,3105.0,0.0,45615.0,13310.0,0.0,1510.0,405.0,10.0,4365.0,590.0,0.0,1705.0,7215.0,465.0,5400.0,13235.0,56150,56885.0,20055.0,200.0,260.0,1400.0,3855.0,4415.0,8560.0,27090.0,29045.0,27210.0,29560.0,9960.0,9755.0,365.0,90.0,4775.0,485.0,11300.0,1865.0,47265.0,8805.0,51040.0,5715.0,17480.0,2370.0,160.0,145.0,815.0,3630.0,4740.0,7055.0,46815.0,9050.0,52560.0,3650.0,19475.0,76255.0,67160.0,2370.0,6755.0,26850.0,19865.0,1890.0,13515.0,1395.0,2405.0,450.0,6575.0,12060.0,13965.0,16420.0,7150.0,3205.0,1495.0,150.0,60.0,885.0,3445.0,9210.0,19065.0,22750.0,6520.0,720.0,175.0,115.0,67160.0,21990.0,21195.0,11260.0,9250.0,1875.0,665.0
13,28,79,3,119740,54370.0,65345,14735.0,77960,27060.0,107940.0,1990.0,350.0,725.0,5335.0,520.0,400.0,15.0,107065.0,85.0,105.0,590.0,0.0,25.0,25.0,185.0,300.0,3170.0,30.0,10.0,60.0,0.0,0.0,0.0,110010.0,9720,7480.0,36495.0,10415.0,7220.0,41510,16610.0,50170.0,4205.0,59850.0,5510.0,13610.0,1110.0,69770.0,8210.0,26660.0,400.0,54065.0,49850,1900.0,4755.0,9165.0,14305.0,35810.0,2890.0,25.0,35265.0,14365.0,0.0,1135.0,235.0,0.0,3245.0,585.0,0.0,1140.0,7550.0,575.0,3130.0,7880.0,41860,51545.0,14735.0,240.0,325.0,870.0,2045.0,2515.0,5015.0,18125.0,23710.0,24890.0,26685.0,7375.0,7105.0,510.0,55.0,2805.0,150.0,6950.0,765.0,37580.0,4085.0,48255.0,3015.0,13415.0,1100.0,225.0,90.0,410.0,1475.0,1820.0,4315.0,30680.0,10880.0,43495.0,7460.0,14160.0,56585.0,51025.0,1975.0,3605.0,24070.0,11435.0,1975.0,8765.0,1380.0,2010.0,50.0,3280.0,5345.0,6770.0,9075.0,5975.0,5285.0,4545.0,1130.0,870.0,430.0,1345.0,4100.0,11850.0,15635.0,9550.0,1540.0,270.0,140.0,51025.0,14810.0,16790.0,8845.0,6810.0,1820.0,430.0
13,28,79,4,143390,63105.0,80255,16705.0,94300,32360.0,122375.0,3180.0,410.0,645.0,10725.0,975.0,875.0,25.0,120570.0,190.0,55.0,775.0,0.0,0.0,20.0,0.0,1045.0,5790.0,25.0,25.0,0.0,345.0,0.0,0.0,125875.0,17545,8525.0,42980.0,11680.0,8190.0,51400,20680.0,55780.0,7355.0,70095.0,10155.0,14850.0,1855.0,79735.0,14555.0,31250.0,1120.0,67915.0,55845,1745.0,6120.0,11775.0,16010.0,46070.0,4115.0,0.0,40325.0,14825.0,0.0,855.0,225.0,0.0,3575.0,885.0,0.0,1330.0,8825.0,300.0,3715.0,9465.0,47230,65965.0,16705.0,85.0,145.0,875.0,2380.0,2550.0,5860.0,18655.0,28310.0,31660.0,34310.0,7605.0,7600.0,175.0,60.0,2855.0,425.0,7745.0,970.0,40945.0,5510.0,58235.0,6795.0,14300.0,1445.0,65.0,50.0,545.0,1510.0,1710.0,4660.0,34565.0,11625.0,55035.0,9660.0,15955.0,83610.0,62715.0,7735.0,13150.0,23855.0,11180.0,3485.0,14570.0,2030.0,2875.0,210.0,4750.0,8280.0,5980.0,7590.0,4265.0,3275.0,4380.0,1070.0,2900.0,725.0,2070.0,5670.0,13480.0,14650.0,7420.0,2740.0,565.0,895.0,62715.0,21035.0,19280.0,9220.0,6580.0,2000.0,935.0
13,28,79,5,143740,64555.0,79190,19535.0,92920,31305.0,125415.0,4165.0,430.0,990.0,8915.0,1030.0,1045.0,40.0,123950.0,215.0,140.0,1365.0,15.0,45.0,75.0,170.0,660.0,4980.0,25.0,80.0,35.0,40.0,0.0,0.0,129045.0,14695,9995.0,42785.0,11750.0,9510.0,50105,19545.0,58690.0,5860.0,70290.0,8900.0,17785.0,1735.0,80955.0,11930.0,30275.0,1020.0,65570.0,58710,2380.0,6135.0,10920.0,19270.0,42200.0,3590.0,20.0,42150.0,16425.0,0.0,1550.0,560.0,10.0,4590.0,960.0,15.0,1535.0,8935.0,465.0,3675.0,8465.0,44965,66620.0,19535.0,150.0,235.0,840.0,2495.0,2055.0,5920.0,18310.0,26510.0,32600.0,33905.0,9650.0,9190.0,305.0,75.0,2985.0,490.0,7255.0,1030.0,39815.0,4785.0,60430.0,5890.0,17465.0,1685.0,265.0,55.0,870.0,1995.0,2555.0,4630.0,32735.0,11850.0,55380.0,10845.0,19180.0,72115.0,60770.0,4085.0,7235.0,25870.0,11220.0,2465.0,13060.0,2295.0,3770.0,155.0,3140.0,7670.0,8280.0,11280.0,5605.0,3885.0,4370.0,2080.0,3885.0,1035.0,2875.0,7240.0,13570.0,17330.0,7665.0,2640.0,1015.0,1420.0,60770.0,19285.0,18795.0,9825.0,7470.0,2820.0,1325.0
13,28,79,6,152760,69555.0,83230,18360.0,104345,30100.0,119365.0,4690.0,290.0,2455.0,17435.0,270.0,3005.0,60.0,117175.0,65.0,0.0,2785.0,0.0,15.0,145.0,985.0,1050.0,12490.0,0.0,0.0,0.0,1830.0,0.0,0.0,122650.0,30150,9325.0,49070.0,11160.0,9025.0,55265,18905.0,55635.0,13885.0,67020.0,16250.0,14340.0,4035.0,79130.0,25200.0,29190.0,920.0,76625.0,55540,2830.0,6120.0,11615.0,17425.0,53810.0,3440.0,20.0,40790.0,14290.0,0.0,1620.0,320.0,0.0,3890.0,495.0,0.0,1340.0,8875.0,1280.0,8790.0,16555.0,57725,50130.0,18360.0,405.0,730.0,2520.0,5255.0,6035.0,9515.0,27110.0,30490.0,23010.0,26610.0,8360.0,8225.0,800.0,335.0,7035.0,1105.0,12535.0,3250.0,45600.0,11650.0,41345.0,7860.0,13795.0,3665.0,285.0,305.0,1350.0,4615.0,6285.0,6555.0,47995.0,8680.0,44530.0,4490.0,17255.0,80150.0,68105.0,2940.0,9115.0,23280.0,15090.0,2670.0,19740.0,1595.0,3075.0,700.0,10225.0,16790.0,12145.0,8970.0,3065.0,1490.0,960.0,695.0,1200.0,1295.0,4720.0,10045.0,19020.0,16800.0,4615.0,535.0,450.0,135.0,68105.0,23060.0,22075.0,10005.0,6545.0,2470.0,680.0
13,28,79,7,139460,60565.0,78930,15070.0,91765,32625.0,119630.0,2850.0,445.0,635.0,9950.0,615.0,1025.0,0.0,118225.0,80.0,,555.0,,75.0,60.0,,560.0,6425.0,,,,420.0,,,122675.0,16800,7675.0,41695.0,11215.0,7440.0,50080,21410.0,53385.0,7135.0,69290.0,9665.0,13135.0,1915.0,77825.0,13925.0,31705.0,900.0,68580.0,51575,2235.0,5545.0,11505.0,14160.0,47415.0,4740.0,10.0,36820.0,14360.0,0.0,1105.0,400.0,10.0,3280.0,740.0,0.0,965.0,8515.0,620.0,4000.0,10400.0,46105,63195.0,15070.0,245.0,325.0,905.0,2450.0,2825.0,6585.0,18770.0,27120.0,29260.0,33895.0,7195.0,6850.0,525.0,40.0,3245.0,245.0,8400.0,1410.0,39225.0,6315.0,57280.0,5395.0,12635.0,1680.0,170.0,35.0,430.0,1660.0,2050.0,4945.0,34070.0,11295.0,52655.0,9110.0,14100.0,79780.0,63615.0,7125.0,9055.0,23405.0,10415.0,3345.0,17850.0,2155.0,2635.0,400.0,7130.0,8445.0,6040.0,7625.0,4735.0,3540.0,4195.0,1185.0,2230.0,800.0,3040.0,5935.0,14550.0,14635.0,8635.0,2675.0,755.0,440.0,63615.0,23250.0,19200.0,9470.0,5945.0,1990.0,520.0
13,28,79,8,226985,107310.0,119645,37270.0,150075,39585.0,202115.0,5165.0,440.0,1235.0,12510.0,955.0,1380.0,0.0,200025.0,565.0,295.0,2960.0,90.0,75.0,165.0,195.0,1165.0,8025.0,85.0,325.0,290.0,535.0,0.0,0.0,205985.0,20995,19100.0,71080.0,17070.0,18220.0,78880,22565.0,97870.0,9415.0,108155.0,11455.0,34110.0,3195.0,132995.0,17030.0,38850.0,760.0,101490.0,102690,3295.0,7410.0,12125.0,36525.0,60715.0,2660.0,95.0,77520.0,24985.0,0.0,2120.0,400.0,0.0,5790.0,705.0,0.0,1865.0,8975.0,1255.0,9845.0,18320.0,80635,79630.0,37270.0,300.0,860.0,3105.0,6220.0,6800.0,11175.0,38425.0,42025.0,38755.0,40275.0,18785.0,17865.0,1025.0,145.0,9095.0,585.0,16615.0,1505.0,72270.0,7975.0,72425.0,6855.0,33835.0,3035.0,350.0,270.0,1130.0,6835.0,6450.0,9460.0,67215.0,12450.0,71720.0,6740.0,36345.0,99145.0,89470.0,2740.0,6920.0,38610.0,27940.0,1660.0,14375.0,1395.0,2710.0,70.0,4495.0,14345.0,15205.0,20440.0,9900.0,5525.0,3760.0,2010.0,3565.0,380.0,3535.0,7090.0,21600.0,31985.0,12505.0,2475.0,700.0,995.0,89470.0,20980.0,27790.0,18095.0,14275.0,3710.0,1325.0
