Population.density,People...64.years.old,Born.in.a.UE.county,Born.in.Europe.but.not.in.UE,Born.in.Africa,Born.in.Centro.America.south.America.and.the.Caribe,Born.in.Asia,Married.people,University.studies,Shopping,Catering,Leisure,Health,Parking,Education,Transportation.Station,Green.Space
-1.248360011,-1.836354654,1.81360969,0.416815713,1.324935832,-0.671014535,-0.719731127,0.405229676,-0.854112143,-0.374958509,-0.630630731,0.496517218,-1.18267933,-0.87445516,-0.287546755,0.070159181,-1.128629359
-0.747407025,-0.416595536,0.081502719,1.125653324,0.238199812,0.077656428,-0.366242081,0.658585975,-0.697001497,-0.235269818,-0.478450303,0.366093246,-0.947175226,-0.573617794,0.207351775,-0.001006897,0.832005015
1.238266163,1.125426385,-1.223603094,-0.274476028,-0.709297963,-0.745782687,-0.349033119,-0.465606704,1.30281342,0.626287695,0.728362107,0.195438205,1.065618348,1.100288632,-0.483192334,-0.492404064,0.518912171
0.544525114,0.150914122,-0.223174381,0.130740558,-0.242547456,-0.423015571,0.198105327,-0.294015555,1.055659858,0.206211975,0.285464876,0.046246477,0.489946339,-0.098745639,0.36205934,0.20224186,1.575885802
1.464565007,0.23732419,0.043243317,-1.238731968,1.578914022,0.9869356,1.774014383,-1.176280473,0.293399738,1.22048477,0.703358956,-0.589728142,1.073690758,-0.379213168,-1.412964983,-0.868047411,-0.338270647
-1.344731341,-0.401277724,-0.87553445,-1.194338802,-0.625226006,-1.035396659,-0.129921334,0.930059812,0.484403928,0.059297963,0.270833096,0.045017997,0.05757388,-0.753650298,0.409097587,0.849051806,-1.090136359
-1.259564911,-0.490924628,0.464435232,-1.517969603,-0.292362857,-0.778087417,-0.134827428,0.556194512,0.674214702,-0.157332254,0.619459837,1.053680392,0.13875741,1.126546219,2.07673571,2.47704362,-0.649601147
0.283344833,-0.108382571,-0.193655172,0.753342129,-0.048476644,1.573573093,0.594955775,0.083177693,-1.268622722,-1.420371479,-1.365882269,-1.488625375,-0.676154878,-0.881676482,-0.663972609,-0.754983616,-0.000732845
0.088729537,1.224049703,-0.242144313,-0.105534623,-0.729448813,0.30192332,-0.681526378,0.505245,-0.498109535,-0.014844625,-0.310539281,-0.690788847,-0.106174369,-0.177028549,-0.626791967,-0.550689692,-0.799603241
1.218165429,-0.956810089,1.45624963,-0.123056969,1.21333177,0.170585645,2.074350816,-3.432802496,0.953432503,2.504969525,2.756749216,2.205470283,1.968344903,2.422275208,1.401186208,-0.082640907,0.181353115